WAVELENGTH [um]       LUMINOSITY [W/Hz]
0.0911      0.344E21
0.1350      0.905E21
0.1500      0.844E21
0.1650      0.863E21
0.2000      0.908E21
0.2200      0.926E21
0.2500      0.843E21
0.2800      0.910E21
0.3650      1.842E21
0.4430      2.271E21
0.5640      3.837E21
0.8090      5.734E21
1.2590      0.931E21
2.2000      0.728E21
