WAVELENGTH [um]       LUMINOSITY [W/Hz]
       14.996628   1.1688683e+22
       15.201087   1.2584880e+22
       15.408336   1.3646622e+22
       15.618409   1.4899084e+22
       15.831346   1.6207879e+22
       16.047187   1.7437686e+22
       16.265970   1.8524835e+22
       16.487737   2.2950694e+22
       16.712526   2.4824072e+22
       16.940381   2.4940225e+22
       17.171343   2.5913321e+22
       17.405453   2.7763672e+22
       17.642754   3.0160591e+22
       17.883290   3.2390431e+22
       18.127107   3.4570189e+22
       18.374248   3.5703523e+22
       18.624757   3.7032099e+22
       18.878682   3.8639236e+22
       19.136070   4.0246586e+22
       19.396967   4.1586723e+22
       19.661420   4.2406570e+22
       19.929479   4.4845730e+22
       20.201193   4.6791540e+22
       20.476610   4.9138342e+22
       20.755784   5.0656156e+22
       21.038764   5.2383374e+22
       21.325601   5.4267442e+22
       21.616348   5.5886938e+22
       21.911060   5.8461490e+22
       22.209790   6.0920079e+22
       22.512593   6.2502747e+22
       22.819524   6.4749422e+22
       23.130640   6.6235494e+22
       23.445998   6.7766399e+22
       23.765654   6.9367247e+22
       24.089670   7.3100488e+22
       24.418103   7.5686185e+22
       24.751012   7.7553198e+22
       25.088462   8.0065430e+22
       25.430512   8.1505987e+22
       25.777226   8.3634834e+22
       26.128665   8.5344878e+22
       26.484896   8.7431771e+22
       26.845987   8.9578491e+22
       27.211996   9.2011667e+22
       27.582999   9.5248088e+22
       27.959059   9.7927435e+22
       28.340246   1.0052535e+23
       28.726631   1.0333167e+23
       29.118281   1.0618438e+23
       29.515271   1.0904371e+23
       29.917677   1.1198920e+23
       30.325568   1.1503079e+23
       30.739018   1.1832752e+23
       31.158105   1.2260618e+23
       31.582909   1.2710591e+23
       32.013502   1.3151243e+23
       32.449965   1.3628656e+23
       32.892380   1.3918931e+23
       33.340827   1.4448029e+23
       33.795387   1.5028002e+23
       34.256146   1.5752353e+23
       34.723187   1.6522297e+23
       35.196593   1.7235467e+23
       35.676455   1.7786878e+23
       36.162858   1.8812794e+23
       36.655893   1.9510553e+23
       37.155652   2.0174846e+23
       37.662224   2.0876463e+23
       38.175699   2.1808127e+23
       38.696177   2.2897886e+23
       39.223752   2.3797004e+23
       39.758521   2.4746842e+23
       40.300577   2.5762041e+23
       40.850027   2.6802451e+23
       41.406965   2.7794551e+23
